City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Qaanaaq,GL,77.484,-69.3632,-26.12,83,9,6.26,clear sky
1,Ponta Do Sol,PT,32.6667,-17.1,75.0,68,17,6.62,few clouds
2,Barrow,US,71.2906,-156.7887,17.62,79,100,8.05,overcast clouds
3,Blackwater,AU,-23.5833,148.8833,61.3,81,0,7.4,clear sky
4,Jizan,SA,17.3333,42.6667,82.92,63,0,8.63,clear sky
5,Adre,TD,13.4667,22.2,88.9,19,95,5.48,overcast clouds
6,East London,ZA,-33.0153,27.9116,72.54,83,20,12.66,few clouds
7,Albany,US,42.6001,-73.9662,35.92,51,5,5.99,clear sky
8,Akyab,MM,20.15,92.9,79.5,76,0,11.92,clear sky
9,Kaeo,NZ,-35.1,173.7833,57.33,91,89,5.06,overcast clouds
10,Kapaa,US,22.0752,-159.319,73.72,86,20,8.05,light rain
11,Simao,CN,22.7886,100.9748,58.6,97,4,2.68,clear sky
12,Kodiak,US,57.79,-152.4072,40.51,52,0,33.38,clear sky
13,Saint Anthony,US,45.0205,-93.218,18.28,76,0,14.97,clear sky
14,Shimoda,JP,34.6667,138.95,50.11,80,98,5.82,overcast clouds
15,Cabo San Lucas,MX,22.8909,-109.9124,74.52,74,0,1.99,clear sky
16,Carnarvon,AU,-24.8667,113.6333,69.89,75,2,16.71,clear sky
17,Belton,US,38.812,-94.5319,34.36,62,0,16.11,clear sky
18,Thompson,CA,55.7435,-97.8558,-13.27,91,100,2.42,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,50.49,92,77,5.66,light rain
20,Avarua,CK,-21.2078,-159.775,77.05,88,75,13.8,broken clouds
21,Kaitangata,NZ,-46.2817,169.8464,47.05,75,44,11.41,scattered clouds
22,Ribeira Grande,PT,38.5167,-28.7,64.78,94,75,13.8,mist
23,Ushuaia,AR,-54.8,-68.3,58.66,44,40,19.57,scattered clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,84,40,5.75,scattered clouds
25,Xuddur,SO,4.1213,43.8894,84.63,32,76,9.42,broken clouds
26,Castro,BR,-24.7911,-50.0119,76.59,63,12,8.5,few clouds
27,Kampot,KH,10.6167,104.1833,77.05,85,100,3.44,overcast clouds
28,Erenhot,CN,43.6475,111.9767,5.86,67,12,9.51,few clouds
29,Sikonge,TZ,-5.6333,32.7667,70.38,82,90,7.36,light rain
30,Villa Del Rosario,CO,7.8339,-72.4742,71.98,100,75,2.3,fog
31,Yangambi,CD,0.8102,24.4336,78.82,79,91,2.26,light rain
32,New Norfolk,AU,-42.7826,147.0587,51.3,66,58,1.1,broken clouds
33,Atuona,PF,-9.8,-139.0333,76.77,81,20,14.56,light rain
34,Saint-Philippe,RE,-21.3585,55.7679,78.39,78,53,5.61,broken clouds
35,Hobart,AU,-42.8794,147.3294,51.66,76,100,0.0,overcast clouds
36,Vaini,TO,-21.2,-175.2,78.19,84,74,8.57,light rain
37,Riyadh,SA,24.6877,46.7219,73.54,25,82,5.86,broken clouds
38,Labuhan,ID,-6.8844,112.2051,79.21,76,98,4.29,light rain
39,Kieta,PG,-6.2167,155.6333,78.17,87,100,4.05,overcast clouds
40,Severo-Kurilsk,RU,50.6789,156.125,26.82,61,87,15.35,overcast clouds
41,Yellowknife,CA,62.456,-114.3525,-17.45,75,100,4.0,overcast clouds
42,Porto Walter,BR,-8.2686,-72.7439,93.38,42,30,8.03,scattered clouds
43,Cape Town,ZA,-33.9258,18.4232,77.41,62,20,16.11,few clouds
44,Geraldton,AU,-28.7667,114.6,63.01,77,40,8.05,scattered clouds
45,Takoradi,GH,4.8845,-1.7554,84.15,68,100,9.55,overcast clouds
46,Tambacounda,SN,13.7539,-13.7586,100.45,19,0,4.61,clear sky
47,Pevek,RU,69.7008,170.3133,27.81,77,75,28.19,broken clouds
48,Paamiut,GL,61.994,-49.6678,16.83,72,19,17.22,few clouds
49,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,40,4.61,scattered clouds
50,Iqaluit,CA,63.7506,-68.5145,6.53,71,100,12.66,light snow
51,Villa Union,MX,23.2,-106.2333,75.02,94,0,0.0,clear sky
52,Matara,LK,5.9485,80.5353,76.84,89,93,5.53,overcast clouds
53,Guerrero,MX,17.6667,-100.0,69.87,71,80,3.18,broken clouds
54,Constitucion,CL,-35.3333,-72.4167,65.66,49,0,11.03,clear sky
55,Dikson,RU,73.5069,80.5464,22.86,95,100,19.66,light snow
56,Belluno,IT,46.145,12.2214,48.54,83,37,0.56,scattered clouds
57,Shirokiy,RU,49.758,129.523,-24.05,100,48,4.23,scattered clouds
58,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,8.05,broken clouds
59,Cherskiy,RU,68.75,161.3,-3.68,98,100,12.1,light snow
60,Arlit,NE,18.7369,7.3853,84.11,11,100,5.01,overcast clouds
61,Nikolskoye,RU,59.7035,30.7861,20.8,86,100,3.42,overcast clouds
62,Flinders,AU,-34.5833,150.8552,64.38,73,67,4.21,broken clouds
63,Busselton,AU,-33.65,115.3333,54.72,90,0,9.46,clear sky
64,Praya,CV,14.9215,-23.5087,81.14,50,0,17.27,clear sky
65,Rikitea,PF,-23.1203,-134.9692,73.65,74,63,10.92,broken clouds
66,Punta Arenas,CL,-53.15,-70.9167,59.11,41,75,39.12,broken clouds
67,Lebu,CL,-37.6167,-73.65,59.85,53,0,15.64,clear sky
68,Obama,JP,35.4958,135.746,45.95,72,100,15.57,overcast clouds
69,Bonfim,BR,3.0833,-59.95,86.5,54,97,10.83,light rain
70,Sanjwal,PK,33.7608,72.4336,60.82,32,100,0.98,overcast clouds
71,Aykhal,RU,66.0,111.5,-25.53,100,100,9.71,overcast clouds
72,Airai,TL,-8.9266,125.4092,60.12,89,100,1.68,overcast clouds
73,Yaan,NG,7.3833,8.5667,96.06,15,80,5.75,broken clouds
74,Esperance,AU,-33.8667,121.9,63.86,93,7,20.02,clear sky
75,Chingola,ZM,-12.529,27.8838,73.44,63,62,3.69,broken clouds
76,Mar Del Plata,AR,-38.0023,-57.5575,66.83,92,100,19.57,overcast clouds
77,Ures,MX,29.4333,-110.4,60.85,43,59,4.23,broken clouds
78,Tura,IN,25.5198,90.2201,63.03,89,0,3.71,clear sky
79,Port Hardy,CA,50.6996,-127.4199,21.38,93,75,4.61,broken clouds
80,Tezu,IN,27.9167,96.1667,65.17,48,0,4.52,clear sky
81,Daru,PG,-9.0763,143.2092,77.85,89,100,6.8,light rain
82,Dali,CN,25.7,100.1833,51.26,89,0,4.83,clear sky
83,Lermontov,RU,44.1067,42.9733,31.42,93,100,15.66,light intensity drizzle
84,Krasnoselkup,RU,65.7,82.4667,-1.86,97,100,10.29,overcast clouds
85,Ambilobe,MG,-13.2,49.05,78.69,77,87,4.43,moderate rain
86,Puerto Ayora,EC,-0.7393,-90.3518,75.16,85,85,11.01,overcast clouds
87,Provideniya,RU,64.3833,-173.3,30.51,97,88,8.63,light snow
88,Port Augusta,AU,-32.5,137.7667,67.21,43,8,6.55,clear sky
89,Bluff,NZ,-46.6,168.3333,50.81,65,47,21.63,scattered clouds
90,Piacabucu,BR,-10.4056,-36.4344,82.56,69,100,15.61,overcast clouds
91,Port Arthur,CN,38.8,121.2667,26.82,43,48,14.67,scattered clouds
92,Pisco,PE,-13.7,-76.2167,71.65,68,0,6.91,clear sky
93,Knoxville,US,35.9606,-83.9207,39.67,52,0,11.5,clear sky
94,Souillac,MU,-20.5167,57.5167,77.38,73,40,4.61,scattered clouds
95,North Bend,US,43.4065,-124.2243,38.86,97,100,9.22,overcast clouds
96,Chuy,UY,-33.6971,-53.4616,77.92,74,86,10.27,overcast clouds
97,Mehamn,NO,71.0357,27.8492,33.75,86,100,8.05,overcast clouds
98,Sindor,RU,62.8629,51.8905,-1.68,99,70,2.98,broken clouds
99,Fairbanks,US,64.8378,-147.7164,5.59,84,100,0.0,light snow
100,Katsuura,JP,35.1333,140.3,52.43,85,100,11.25,overcast clouds
101,Saint-Augustin,CA,51.226,-58.6502,36.28,98,100,19.39,moderate rain
102,Te Anau,NZ,-45.4167,167.7167,39.94,90,74,1.5,broken clouds
103,Camacha,PT,33.0833,-16.3333,65.62,68,40,18.41,scattered clouds
104,Okhotsk,RU,59.3833,143.3,-3.66,99,100,9.33,overcast clouds
105,Punta Alta,AR,-38.8759,-62.0736,73.54,47,1,12.06,clear sky
106,Khammam,IN,17.25,80.15,75.27,66,4,2.89,clear sky
107,Hermanus,ZA,-34.4187,19.2345,71.8,77,87,12.5,overcast clouds
108,Biak,ID,-0.9131,122.8766,76.26,79,76,2.51,broken clouds
109,Makarov,RU,48.6333,142.8,8.31,77,90,10.16,overcast clouds
110,Raga,SS,8.4596,25.678,94.33,18,100,7.23,overcast clouds
111,Jamestown,US,42.097,-79.2353,29.79,91,100,11.5,mist
112,Ancud,CL,-41.8697,-73.8203,52.59,59,69,5.91,broken clouds
113,Aldan,RU,58.6031,125.3894,-12.57,96,100,10.45,overcast clouds
114,Andenes,NO,69.3143,16.1194,39.18,87,100,6.91,overcast clouds
115,Las Vegas,US,36.175,-115.1372,44.67,49,0,0.0,clear sky
116,Upernavik,GL,72.7868,-56.1549,3.25,93,100,20.02,overcast clouds
117,Kiunga,PG,-6.1219,141.2906,73.02,99,100,3.8,light rain
118,Tandil,AR,-37.3217,-59.1332,68.85,61,98,14.36,overcast clouds
119,Victoria,HK,22.2855,114.1577,61.25,76,86,15.01,overcast clouds
120,Monrovia,LR,6.3005,-10.7969,83.97,67,86,6.8,overcast clouds
121,Oranjestad,AW,12.524,-70.027,83.91,74,20,13.8,few clouds
122,Kahului,US,20.8947,-156.47,74.84,89,20,8.05,few clouds
123,Kavaratti,IN,10.5669,72.642,81.86,72,31,3.94,scattered clouds
124,Kangaatsiaq,GL,68.3065,-53.4641,19.44,65,100,25.7,overcast clouds
125,Norman Wells,CA,65.282,-126.8329,-7.56,84,100,3.44,light snow
126,Salalah,OM,17.0151,54.0924,78.89,73,20,4.61,few clouds
127,Tiksi,RU,71.6872,128.8694,-11.92,96,100,13.76,overcast clouds
128,Anapskaya,RU,44.89,37.38,44.83,70,0,17.9,clear sky
129,Kerman,IR,30.2832,57.0788,55.26,33,0,9.22,clear sky
130,Lagoa,PT,39.05,-27.9833,60.44,85,18,29.04,light rain
131,Turukhansk,RU,65.8167,87.9833,-1.73,99,100,6.49,overcast clouds
132,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,14.97,scattered clouds
133,Yalutorovsk,RU,56.6536,66.3006,5.0,83,100,5.53,overcast clouds
134,Hualmay,PE,-11.0964,-77.6139,71.4,73,7,8.68,clear sky
135,Ayan,RU,56.45,138.1667,-2.49,70,89,16.67,overcast clouds
136,Saint George,US,37.1041,-113.5841,32.59,64,0,0.0,clear sky
137,Port Alfred,ZA,-33.5906,26.891,74.05,81,36,9.22,scattered clouds
138,Saldanha,ZA,-33.0117,17.9442,75.25,75,74,15.77,broken clouds
139,Butaritari,KI,3.0707,172.7902,79.84,81,20,12.75,light rain
140,Garowe,SO,8.4054,48.4845,79.59,60,87,15.26,light rain
141,Aalburg,NL,51.7548,5.1316,45.21,86,100,1.99,overcast clouds
142,Luderitz,NA,-26.6481,15.1594,70.27,67,23,24.61,few clouds
143,Bibiani,GH,6.4635,-2.3194,85.86,54,97,2.71,overcast clouds
144,Prince George,CA,53.9166,-122.753,-13.38,80,0,3.44,clear sky
145,Lata,PT,40.1629,-8.3327,64.08,59,0,6.58,clear sky
146,Waipawa,NZ,-41.4122,175.5153,46.8,77,41,0.6,scattered clouds
147,San Lorenzo,PY,-25.3333,-57.5333,88.74,52,75,3.44,broken clouds
148,Tuatapere,NZ,-46.1333,167.6833,45.1,78,94,9.86,overcast clouds
149,Nome,US,64.5011,-165.4064,21.27,93,75,11.5,broken clouds
150,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,15,0,18.41,clear sky
151,Korla,CN,41.7597,86.1469,18.81,21,0,2.17,clear sky
152,Ust-Kuyga,RU,70.0167,135.6,-7.62,99,100,3.67,light snow
153,Dunedin,NZ,-45.8742,170.5036,48.79,68,38,8.99,scattered clouds
154,Mgandu,TZ,-5.95,34.1333,65.57,76,97,4.63,light rain
155,Srednekolymsk,RU,67.45,153.6833,-15.97,96,100,17.74,overcast clouds
156,Ilulissat,GL,69.2167,-51.1,19.42,73,75,26.46,light snow
157,Marsh Harbour,BS,26.5412,-77.0636,78.01,71,23,12.95,few clouds
158,Vallenar,CL,-28.5708,-70.7581,74.25,51,17,6.76,few clouds
159,Vitim,RU,59.4511,112.5578,-14.03,97,100,4.18,overcast clouds
160,Jibuti,DJ,11.5,42.5,74.53,56,2,10.6,clear sky
161,Muko,JP,34.9654,135.7041,45.75,64,73,6.33,broken clouds
162,Ahipara,NZ,-35.1667,173.1667,58.59,74,100,10.54,overcast clouds
163,Vysokogornyy,RU,50.1167,139.15,-13.0,94,99,6.31,overcast clouds
164,Bicaz,RO,46.9167,26.0667,29.23,89,100,2.8,overcast clouds
165,Bonga,ET,7.2833,36.2333,68.27,59,99,1.41,overcast clouds
166,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,40,24.16,scattered clouds
167,Clyde River,CA,70.4692,-68.5914,-24.2,82,1,2.37,clear sky
168,Talcahuano,CL,-36.7167,-73.1167,65.88,52,0,8.05,clear sky
169,Kalmunai,LK,7.4167,81.8167,79.11,82,21,5.82,few clouds
170,Sept-Iles,CA,50.2001,-66.3821,34.32,80,75,16.11,broken clouds
171,Oda,JP,35.1833,132.5,45.05,58,100,15.05,overcast clouds
172,Dzhebariki-Khaya,RU,62.2167,135.8,-28.75,99,100,0.89,overcast clouds
173,Khatanga,RU,71.9667,102.5,10.8,94,100,13.29,overcast clouds
174,Anloga,GH,5.7947,0.8973,84.16,66,97,11.52,overcast clouds
175,Prince Rupert,CA,54.3161,-130.3201,24.49,54,0,12.66,clear sky
